,Unnamed: 0,world_x,world_y,eye_x,eye_y,eye_w,eye_h,pipil_x,pupil_y,pupil_w,pupil_h,world_x_p,world_y_p
0,0,448,289,108,165,372,172,128,194,166,133,443.9969939319571,286.50058885890286
1,1,355,354,136,222,373,172,214,214,199,159,347.66621934671656,345.99900845566907
2,2,367,315,108,165,372,172,194,174,199,159,367.499025878972,311.99991154323124
3,3,349,280,136,165,373,172,214,154,199,159,345.39961288588745,277.8008199430732
4,4,344,354,136,222,373,172,214,214,199,159,347.66621934671656,345.99900845566907
5,5,244,307,136,165,373,172,313,174,199,159,253.50205387844517,305.49998764171056
6,6,268,300,136,165,373,172,293,174,199,159,270.40160499080395,305.000072826742
7,7,195,342,136,222,373,172,369,245,138,110,195.003845633022,341.9991147012646
8,8,250,273,108,165,372,172,327,178,166,133,250.0019229810709,273.0008518947666
9,9,284,302,136,165,373,172,293,174,199,159,270.40160499080395,305.000072826742
10,10,422,355,108,251,372,172,161,261,166,133,419.4976446862298,362.4985701925874
11,11,349,245,136,136,373,172,214,114,199,159,348.9995172648514,245.00169115695667
12,12,343,365,136,222,373,172,214,234,199,159,347.9995438262503,361.3319345142194
13,13,327,303,136,136,373,172,254,134,199,159,316.30038582259505,292.2004374589293
14,14,337,313,136,194,373,172,234,174,199,159,333.66631592144336,317.9997521748379
15,15,328,264,108,136,372,172,254,134,199,159,320.8002662963,285.60061276416184
16,16,300,260,136,136,373,172,273,134,200,159,296.00092501899246,268.2510736044325
17,17,223,350,209,233,311,143,344,211,166,133,223.0028127783068,349.9989022100735
18,18,235,263,137,137,311,144,344,211,166,133,235.00251396987764,263.0012130517767
19,19,339,355,136,222,373,172,234,234,199,159,338.9995673698127,350.9988756486746
20,20,409,285,108,165,372,172,161,178,166,133,408.49793686161763,286.50058885890286
21,21,407,320,108,194,372,172,134,194,199,159,414.4977774932242,315.4998185783351
22,22,326,257,136,136,373,172,234,134,199,159,326.00019900653825,257.0013724201701
23,23,227,303,108,194,372,172,344,194,166,133,227.00276732680007,303.00003381610026
24,24,338,311,161,161,311,144,234,154,199,159,337.99963967716775,311.00018126483684
25,25,233,349,209,209,311,143,344,211,166,133,228.50271791341734,347.49896861357075
26,26,297,356,136,222,373,172,273,214,200,159,295.50093829969194,355.99874284168015
27,27,392,258,108,136,372,172,174,154,199,159,391.9981994134341,258.0013024009394
